,cardname,text,cmc,mana,type,Type
1549,Icatian Infantry,"{1}: Icatian Infantry gains first strike until end of turn.
{1}: Icatian Infantry gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",1,{W},Creature - Human Soldier,
1550,Icatian Javelineers,"Icatian Javelineers enters the battlefield with a javelin counter on it.
{T}, Remove a javelin counter from Icatian Javelineers: It deals 1 damage to any target.",1,{W},Creature - Human Soldier,
1551,Icatian Lieutenant,{1}{W}: Target Soldier creature gets +1/+0 until end of turn.,2,{W}{W},Creature - Human Soldier,
1552,Icatian Moneychanger,"Icatian Moneychanger enters the battlefield with three credit counters on it.
When Icatian Moneychanger enters the battlefield, it deals 3 damage to you.
At the beginning of your upkeep, put a credit counter on Icatian Moneychanger.
Sacrifice Icatian Moneychanger: You gain 1 life for each credit counter on Icatian Moneychanger. Activate only during your upkeep.",1,{W},Creature - Human,
1553,Icatian Phalanx,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",5,{4}{W},Creature - Human Soldier,
1554,Icatian Priest,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,1,{W},Creature - Human Cleric,
1555,Icatian Scout,"{1}, {T}: Target creature gains first strike until end of turn.",1,{W},Creature - Human Soldier Scout,
1556,Icatian Skirmishers,"First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Whenever Icatian Skirmishers attacks, all creatures banded with it gain first strike until end of turn.",4,{3}{W},Creature - Human Soldier,
1557,Icatian Store,"Icatian Store enters the battlefield tapped.
You may choose not to untap Icatian Store during your untap step.
At the beginning of your upkeep, if Icatian Store is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from Icatian Store: Add {W} for each storage counter removed this way.",0,,Land,
1558,Icatian Town,Create four 1/1 white Citizen creature tokens.,6,{5}{W},Sorcery,
1559,Implements of Sacrifice,"{1}, {T}, Sacrifice Implements of Sacrifice: Add two mana of any one color.",2,{2},Artifact,
1560,Initiates of the Ebon Hand,"{1}: Add {B}. If this ability has been activated four or more times this turn, sacrifice Initiates of the Ebon Hand at the beginning of the next end step.",1,{B},Creature - Cleric,
1561,Merseine,"Enchant creature
Merseine enters the battlefield with three net counters on it.
Enchanted creature doesn't untap during its controller's untap step if Merseine has a net counter on it.
Pay enchanted creature's mana cost: Remove a net counter from Merseine. Only the controller of the enchanted creature may activate this ability.",4,{2}{U}{U},Enchantment - Aura,
1562,Mindstab Thrull,"Whenever Mindstab Thrull attacks and isn't blocked, you may sacrifice it. If you do, defending player discards three cards.",3,{1}{B}{B},Creature - Thrull,
1563,Necrite,"Whenever Necrite attacks and isn't blocked, you may sacrifice it. If you do, destroy target creature defending player controls. It can't be regenerated.",3,{1}{B}{B},Creature - Thrull,
1564,Night Soil,"{1}, Exile two creature cards from a single graveyard: Create a 1/1 green Saproling creature token.",2,{G}{G},Enchantment,
1565,Orcish Captain,"{1}: Flip a coin. If you win the flip, target Orc creature gets +2/+0 until end of turn. If you lose the flip, it gets -0/-2 until end of turn.",1,{R},Creature - Orc Warrior,
1566,Orcish Spy,{T}: Look at the top three cards of target player's library.,1,{R},Creature - Orc Rogue,
1567,Orcish Veteran,"Orcish Veteran can't block white creatures with power 2 or greater.
{R}: Orcish Veteran gains first strike until end of turn.",3,{2}{R},Creature - Orc,
1568,Order of Leitbur,"Protection from black
{W}: Order of Leitbur gains first strike until end of turn.
{W}{W}: Order of Leitbur gets +1/+0 until end of turn.",2,{W}{W},Creature - Human Cleric Knight,
1569,Order of the Ebon Hand,"Protection from white
{B}: Order of the Ebon Hand gains first strike until end of turn.
{B}{B}: Order of the Ebon Hand gets +1/+0 until end of turn.",2,{B}{B},Creature - Cleric Knight,
1570,Orgg,"Trample
Orgg can't attack if defending player controls an untapped creature with power 3 or greater.
Orgg can't block creatures with power 3 or greater.",5,{3}{R}{R},Creature - Orgg,
1571,Raiding Party,"Raiding Party can't be the target of white spells or abilities from white sources.
Sacrifice an Orc: Each player may tap any number of untapped white creatures they control. For each creature tapped this way, that player chooses up to two Plains. Then destroy all Plains that weren't chosen this way by any player.",3,{2}{R},Enchantment,
1572,Rainbow Vale,{T}: Add one mana of any color. An opponent gains control of Rainbow Vale at the beginning of the next end step.,0,,Land,
1573,Ring of Renewal,"{5}, {T}: Discard a card at random, then draw two cards.",5,{5},Artifact,
1574,River Merfolk,{U}: River Merfolk gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.),2,{U}{U},Creature - Merfolk,
1575,Ruins of Trokair,"Ruins of Trokair enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Ruins of Trokair: Add {W}{W}.",0,,Land,
1576,Sand Silos,"Sand Silos enters the battlefield tapped.
You may choose not to untap Sand Silos during your untap step.
At the beginning of your upkeep, if Sand Silos is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from Sand Silos: Add {U} for each storage counter removed this way.",0,,Land,
1577,Seasinger,"When you control no Islands, sacrifice Seasinger.
You may choose not to untap Seasinger during your untap step.
{T}: Gain control of target creature whose controller controls an Island for as long as you control Seasinger and Seasinger remains tapped.",3,{1}{U}{U},Creature - Merfolk,
1578,Soul Exchange,"As an additional cost to cast this spell, exile a creature you control.
Return target creature card from your graveyard to the battlefield. Put a +2/+2 counter on that creature if the exiled creature was a Thrull.",2,{B}{B},Sorcery,
1579,Spirit Shield,"You may choose not to untap Spirit Shield during your untap step.
{2}, {T}: Target creature gets +0/+2 for as long as Spirit Shield remains tapped.",3,{3},Artifact,
1580,Spore Cloud,Tap all blocking creatures. Prevent all combat damage that would be dealt this turn. Each attacking creature and each blocking creature doesn't untap during its controller's next untap step.,3,{1}{G}{G},Instant,
1581,Spore Flower,"At the beginning of your upkeep, put a spore counter on Spore Flower.
Remove three spore counters from Spore Flower: Prevent all combat damage that would be dealt this turn.",2,{G}{G},Creature - Fungus,
1582,Svyelunite Priest,"{U}{U}, {T}: Target creature gains shroud until end of turn. Activate only during your upkeep. (It can't be the target of spells or abilities.)",2,{1}{U},Creature - Merfolk Cleric,
1583,Svyelunite Temple,"Svyelunite Temple enters the battlefield tapped.
{T}: Add {U}.
{T}, Sacrifice Svyelunite Temple: Add {U}{U}.",0,,Land,
1584,Thallid,"At the beginning of your upkeep, put a spore counter on Thallid.
Remove three spore counters from Thallid: Create a 1/1 green Saproling creature token.",1,{G},Creature - Fungus,
1585,Thallid Devourer,"At the beginning of your upkeep, put a spore counter on Thallid Devourer.
Remove three spore counters from Thallid Devourer: Create a 1/1 green Saproling creature token.
Sacrifice a Saproling: Thallid Devourer gets +1/+2 until end of turn.",3,{1}{G}{G},Creature - Fungus,
1586,Thelonite Druid,"{1}{G}, {T}, Sacrifice a creature: Forests you control become 2/3 creatures until end of turn. They're still lands.",3,{2}{G},Creature - Human Cleric Druid,
1587,Thelonite Monk,"{T}, Sacrifice a green creature: Target land becomes a Forest. (This effect lasts indefinitely.)",4,{2}{G}{G},Creature - Insect Monk Cleric,
1588,Thelon's Chant,"At the beginning of your upkeep, sacrifice Thelon's Chant unless you pay {G}.
Whenever a player puts a Swamp onto the battlefield, Thelon's Chant deals 3 damage to that player unless the player puts a -1/-1 counter on a creature they control.",3,{1}{G}{G},Enchantment,
1589,Thelon's Curse,"Blue creatures don't untap during their controllers' untap steps.
At the beginning of each player's upkeep, that player may choose any number of tapped blue creatures they control and pay {U} for each creature chosen this way. If the player does, untap those creatures.",2,{G}{G},Enchantment,
1590,Thorn Thallid,"At the beginning of your upkeep, put a spore counter on Thorn Thallid.
Remove three spore counters from Thorn Thallid: It deals 1 damage to any target.",3,{1}{G}{G},Creature - Fungus,
1591,Thrull Champion,"Thrull creatures get +1/+1.
{T}: Gain control of target Thrull for as long as you control Thrull Champion.",5,{4}{B},Creature - Thrull,
1592,Thrull Retainer,"Enchant creature
Enchanted creature gets +1/+1.
Sacrifice Thrull Retainer: Regenerate enchanted creature.",1,{B},Enchantment - Aura,
1593,Thrull Wizard,{1}{B}: Counter target black spell unless that spell's controller pays {B} or {3}.,3,{2}{B},Creature - Thrull Wizard,
1594,Tidal Flats,"{U}{U}: For each attacking creature without flying, its controller may pay {1}. If that player doesn't, creatures you control blocking that creature gain first strike until end of turn.",1,{U},Enchantment,
1595,Tidal Influence,"Cast this spell only if no permanents named Tidal Influence are on the battlefield.
Tidal Influence enters the battlefield with a tide counter on it.
At the beginning of your upkeep, put a tide counter on Tidal Influence.
As long as there is exactly one tide counter on Tidal Influence, all blue creatures get -2/-0.
As long as there are exactly three tide counters on Tidal Influence, all blue creatures get +2/+0.
Whenever there are four or more tide counters on Tidal Influence, remove all tide counters from it.",3,{2}{U},Enchantment,
1596,Tourach's Chant,"At the beginning of your upkeep, sacrifice Tourach's Chant unless you pay {B}.
Whenever a player puts a Forest onto the battlefield, Tourach's Chant deals 3 damage to that player unless they put a -1/-1 counter on a creature they control.",3,{1}{B}{B},Enchantment,
1597,Tourach's Gate,"Enchant land you control
Sacrifice a Thrull: Put three time counters on Tourach's Gate.
At the beginning of your upkeep, remove a time counter from Tourach's Gate. If there are no time counters on Tourach's Gate, sacrifice it.
Tap enchanted land: Attacking creatures you control get +2/-1 until end of turn. Activate only if enchanted land is untapped.",3,{1}{B}{B},Enchantment - Aura,
1598,Vodalian Knights,"First strike
Vodalian Knights can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Vodalian Knights.
{U}: Vodalian Knights gains flying until end of turn.",3,{1}{U}{U},Creature - Merfolk Knight,
1599,Vodalian Mage,"{U}, {T}: Counter target spell unless its controller pays {1}.",3,{2}{U},Creature - Merfolk Wizard,
1600,Vodalian Soldiers,,2,{1}{U},Creature - Merfolk Soldier,
1601,Vodalian War Machine,"Defender (This creature can't attack.)
Tap an untapped Merfolk you control: Vodalian War Machine can attack this turn as though it didn't have defender.
Tap an untapped Merfolk you control: Vodalian War Machine gets +2/+1 until end of turn.
When Vodalian War Machine dies, destroy all Merfolk tapped this turn to pay for its abilities.",3,{1}{U}{U},Creature - Wall,
1602,Zelyon Sword,"You may choose not to untap Zelyon Sword during your untap step.
{3}, {T}: Target creature gets +2/+0 for as long as Zelyon Sword remains tapped.",3,{3},Artifact,
1953,Abyssal Specter,"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card.",4,{2}{B}{B},Creature - Specter,
1954,Adarkar Sentinel,{1}: Adarkar Sentinel gets +0/+1 until end of turn.,5,{5},Artifact Creature - Soldier,
1955,Adarkar Unicorn,{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.,3,{1}{W}{W},Creature - Unicorn,
1956,Adarkar Wastes,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",0,,Land,
1957,Aegis of the Meek,"{1}, {T}: Target 1/1 creature gets +1/+2 until end of turn.",3,{3},Artifact,
1958,Aggression,"Enchant non-Wall creature
Enchanted creature has first strike and trample.
At the beginning of the end step of enchanted creature's controller, destroy that creature if it didn't attack this turn.",3,{2}{R},Enchantment - Aura,
1959,Altar of Bone,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card, reveal it, put it into your hand, then shuffle.",2,{G}{W},Sorcery,
1960,Anarchy,Destroy all white permanents.,4,{2}{R}{R},Sorcery,
1961,Arctic Foxes,Arctic Foxes can't be blocked by creatures with power 2 or greater as long as defending player controls a snow land.,2,{1}{W},Creature - Fox,
1962,Arcum's Sleigh,"{2}, {T}: Target creature gains vigilance until end of turn. Activate only during combat and only if defending player controls a snow land.",1,{1},Artifact,
